,Ab_Debris,Ab_Others,Ab_CD3-CD16-CD19-,Ab_CD3+CD4-CD8-,Ab_CD3+CD4+CD8-,Ab_CD3+CD4-CD8+,Ab_CD3+CD4+CD8+,Ab_CD3-CD16+CD56+,Ab_CD3+CD16+CD56+,Ab_CD3-CD19+,Lymph Events,CD3+,CD3+CD4+,CD3+CD8+,CD3+CD4+CD8+,CD3-,CD16+CD56,CD19+,%T-sum,CD4/CD8 Ratio,LymphSum
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CBR_20190905_2_Lot_3,5.8129478599999995,63.49147517,0.0,1.7852730399999999,13.299975289999999,7.32641463,0.11119348,2.74277242,0.0,5.47936743,0.31,73.23,43.24,23.82,0.36,0.0,8.92,17.82,5.45,1.82,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190827_2_Lot_1,15.047556219999999,59.32706581,0.0,0.22541096,14.41530595,5.99263291,0.14294354,0.65424157,0.0,4.19484304,0.26,81.05,56.23,23.38,0.56,0.0,2.55,16.36,0.32,2.41,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190829_1_Lot1,3.07362746,85.51760657,0.0,0.1323802,5.18448985,3.45632657,0.02406913,0.65227333,0.0,1.9592269,0.11,77.04,45.4,30.27,0.21,0.0,5.71,17.16,0.95,1.5,99.91
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190829_1_Lot_2,2.92286743,85.61180819,0.0,0.1702169,5.2159323,3.2122361600000002,0.03161171,0.69545764,0.0,2.08880459,0.11,75.54,45.66,28.12,0.28,0.0,6.09,18.28,1.2,1.62,99.91
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190829_1_Lot_3,2.2667226400000002,86.02187708,0.0,0.11358304999999999,5.289019479999999,3.2469937499999997,0.041976349999999996,0.64939875,0.0,2.3704289,0.12,74.15,45.12,27.7,0.36,0.0,5.54,20.22,0.61,1.63,99.91
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190829_2_Lot_1,2.96959802,87.744341,0.0,0.22062392,2.46878171,1.2244627799999999,0.044124779999999995,2.4268631700000003,0.0,2.90120461,0.09,42.58,26.56,13.17,0.47,0.0,26.11,31.21,1.91,2.02,99.9
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190829_2_Lot_2,4.02080329,86.94550063000001,0.0,0.17918797,2.5239281499999997,1.13412875,0.04370438,2.4081115300000002,0.0,2.7446352899999997,0.09,42.91,27.91,12.54,0.48,0.0,26.63,30.35,1.5,2.23,99.89
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_20190829_2_Lot_3,3.20999755,87.70800383000001,0.0,0.20271324000000002,2.63081687,1.19400325,0.046779980000000006,2.1073266399999997,0.0,2.9003586500000003,0.09,44.81,28.94,13.13,0.51,0.0,23.18,31.9,1.72,2.2,99.89
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909010_2_Lot_3,12.890310460000002,76.00429453000001,0.0,0.22367362000000002,3.2343204799999996,3.7129820199999997,0.11631027999999999,0.29301244,0.0,3.5250961800000002,0.11,65.56,29.1,33.4,1.05,0.0,2.64,31.71,0.96,0.87,99.91
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/WB_6CB_201909012_1_Lot_2,3.78474276,72.02838557,0.0,2.2218467499999996,10.68682943,5.75314691,0.20275407999999998,2.95683028,0.0,2.36546422,0.24,77.96,44.17,23.78,0.84,0.0,12.22,9.78,8.33,1.86,99.96
